Wall time,Step,Value
1607297413.8001614,1900,0.5154131650924683
1607297447.2912426,2500,0.49653178453445435
1607297535.8879673,4100,0.46435949206352234
1607297547.4182224,4300,0.46171292662620544
1607297564.0240579,4600,0.4581374526023865
1607297624.8323276,5700,0.4474889636039734
1607297707.6014764,7200,0.4371325671672821
1607297724.2816935,7500,0.4359091520309448
1607297835.299978,9500,0.42732810974121094
1607298172.948951,15600,0.4114868640899658
1607298189.6994612,15900,0.4107983410358429
1607298240.3933854,16800,0.40932604670524597
1607298328.92782,18400,0.40692177414894104
1607298339.9702802,18600,0.40667086839675903
1607298583.2543268,23000,0.40105387568473816
1607298610.9890332,23500,0.4005695581436157
1607298694.8645422,25000,0.3989368677139282
1607298727.9494483,25600,0.3985971510410309
1607298755.6868134,26100,0.3982553482055664
1607298794.942638,26800,0.3977966606616974
1607298827.9287481,27400,0.39723435044288635
1607299020.9259217,30900,0.3944111466407776
1607299031.9379249,31100,0.39428749680519104
1607299076.1545155,31900,0.3936806917190552
1607299192.1902308,34000,0.39248740673065186
1607299236.4337015,34800,0.3919427990913391
1607299346.9619727,36800,0.39059948921203613
1607299644.1418097,42200,0.38753652572631836
1607299649.6400576,42300,0.3874508738517761
1607299743.5136435,44000,0.38691362738609314
1607299759.8850658,44300,0.3867747485637665
1607299776.362696,44600,0.386675626039505
1607299859.2804508,46100,0.3861175775527954
1607299875.7531152,46400,0.3859437108039856
1607299881.2058916,46500,0.385924369096756
1607299936.3938513,47500,0.38550886511802673
1607300040.5269182,49400,0.3846507966518402
1607300156.507388,51500,0.3838818371295929
1607300250.3395107,53200,0.3832794725894928
1607300277.8182087,53700,0.3831096887588501
1607300425.6808403,56400,0.3820963501930237
1607300478.7743607,57400,0.3817339539527893
1607300510.910829,58000,0.38150542974472046
1607300548.4050343,58700,0.3812883198261261
1607300553.7615767,58800,0.38126054406166077
1607300731.2979782,62100,0.38011571764945984
1607300742.1328611,62300,0.3800961971282959
1607300807.5463367,63500,0.37987780570983887
1607300845.8007495,64200,0.379778653383255
1607300851.208912,64300,0.37977883219718933
1607300862.213941,64500,0.3797241151332855
1607300878.6082926,64800,0.37963464856147766
1607300889.4974315,65000,0.37957248091697693
1607300955.2296798,66200,0.37914028763771057
1607301009.9353492,67200,0.37881454825401306
1607301246.452301,71500,0.37769487500190735
1607301290.076085,72300,0.37741512060165405
1607301334.087494,73100,0.3772527277469635
1607301383.335286,74000,0.37698960304260254
1607301454.8397453,75300,0.3766494393348694
1607301476.972878,75700,0.37649232149124146
1607301526.4612944,76600,0.37614235281944275
1607301548.5942833,77000,0.3760877549648285
1607301559.655942,77200,0.37601447105407715
1607301570.53853,77400,0.375957190990448
1607301609.043912,78100,0.3757821321487427
1607301636.180209,78600,0.3756701350212097
1607301647.1797004,78800,0.3756360709667206
1607301674.7282667,79300,0.3754693865776062
1607301685.6924496,79500,0.37542349100112915
1607301707.6871986,79900,0.37533384561538696
1607301729.820549,80300,0.3752824664115906
1607301762.6237662,80900,0.37518104910850525
1607301768.1629188,81000,0.3751490116119385
1607301895.3342445,83300,0.3746638894081116
1607301917.475964,83700,0.3745861351490021
1607302099.3250513,87000,0.37390291690826416
1607302137.667396,87700,0.3738088607788086
1607302170.632194,88300,0.3737175166606903
1607302247.088637,89700,0.37351900339126587
1607302269.0187445,90100,0.3734684884548187
1607302307.3577461,90800,0.3732725977897644
1607302318.3924634,91000,0.3732311427593231
1607302362.3082314,91800,0.37305259704589844
1607302439.179822,93200,0.3728117048740387
1607302499.4673612,94300,0.3727245032787323
1607302516.0004718,94600,0.3726496994495392
1607302565.1889546,95500,0.3725299537181854
1607302609.0824842,96300,0.37237292528152466
1607302658.585193,97200,0.3721964657306671
1607302664.0141106,97300,0.37217703461647034
1607302696.8782008,97900,0.3720455467700958
1607302702.4133656,98000,0.3720375597476959
1607302729.7937715,98500,0.3719797134399414
1607302827.918554,100300,0.3716580271720886
1607302844.3811808,100600,0.3715810775756836
1607302894.403057,101500,0.37134936451911926
1607303130.0817227,105800,0.3706554174423218
1607303162.6832223,106400,0.3705247938632965
1607303179.0745149,106700,0.3705205023288727
1607303189.9058256,106900,0.370464026927948
1607303211.575213,107300,0.3704071342945099
1607303244.4341865,107900,0.37032315135002136
1607303271.7850263,108400,0.3702217638492584
1607303326.8729362,109400,0.3700686991214752
1607303359.4251962,110000,0.36995023488998413
1607303386.8614821,110500,0.3698957562446594
1607303442.1914861,111500,0.36976590752601624
1607303698.1368675,115700,0.3691069483757019
1607303720.0286257,116100,0.36904898285865784
1607303725.522343,116200,0.3690333366394043
1607303731.0423672,116300,0.36902886629104614
1607303830.4535713,118100,0.36876562237739563
1607303902.0113015,119400,0.36862677335739136
1607303973.1396952,120700,0.3684314787387848
1607304182.8906224,124500,0.3679561913013458
1607304243.4575536,125600,0.3677811026573181
1607304259.9064813,125900,0.36773431301116943
1607304276.6286337,126200,0.3676988482475281
1607304483.9738753,128200,0.3454716205596924
1607304516.9162438,128800,0.34686726331710815
1607304555.2983646,129500,0.34825658798217773
1607304588.370972,130100,0.34875789284706116
1607304676.3172376,131700,0.3476583659648895
1607304693.0030987,132000,0.3469625413417816
1607304753.5208607,133100,0.3459698259830475
1607304770.0300364,133400,0.3459036648273468
1607304786.4303186,133700,0.3456687927246094
1607304791.9750853,133800,0.34533146023750305
1607305055.968625,138600,0.34697863459587097
1607305072.0791829,138900,0.34671276807785034
1607305088.4854221,139200,0.34681469202041626
1607305093.9977481,139300,0.34690025448799133
1607305214.8484209,141500,0.3463367819786072
1607305281.126334,142700,0.34645384550094604
1607305336.0370858,143700,0.3457852900028229
1607305357.9860382,144100,0.34597906470298767
1607305495.6096873,146600,0.3460737466812134
1607305501.0429747,146700,0.34621623158454895
1607305561.6252732,147800,0.3460933268070221
1607305605.7040308,148600,0.34614336490631104
1607305638.6541307,149200,0.3462415635585785
1607305814.5022044,152400,0.34611302614212036
1607305836.2707174,152800,0.3460129201412201
1607305973.6175013,155300,0.34583374857902527
1607306061.4663787,156900,0.3457980751991272
1607306066.9239585,157000,0.34576356410980225
1607306149.4467525,158500,0.3458162844181061
1607306171.274017,158900,0.34587180614471436
1607306258.8036919,160500,0.3459607660770416
1607306264.1568198,160600,0.3459582030773163
1607306384.8999057,162800,0.3459556996822357
1607306412.4003239,163300,0.3458506166934967
1607306439.642787,163800,0.34584036469459534
1607306456.2129083,164100,0.34594056010246277
1607306483.6542807,164600,0.34586629271507263
1607306500.0048265,164900,0.3459036648273468
1607306565.8174322,166100,0.3458206355571747
1607306609.8484952,166900,0.3459395170211792
1607306648.360674,167600,0.3458506464958191
1607306686.7789142,168300,0.3457980155944824
1607306736.3422647,169200,0.3458816409111023
1607306758.3149354,169600,0.3457631468772888
1607306769.3408744,169800,0.3457125723361969
1607306780.2274637,170000,0.34574002027511597
1607306796.4013326,170300,0.34558525681495667
1607306834.8479347,171000,0.3455766439437866
1607306884.585232,171900,0.345732718706131
1607306961.7174704,173300,0.34568217396736145
1607306972.7550187,173500,0.345650851726532
1607306989.1522913,173800,0.34560665488243103
1607307016.4022949,174300,0.34545838832855225
1607307032.7808862,174600,0.34546634554862976
1607307038.3567939,174700,0.34540265798568726
1607307148.552968,176700,0.34547939896583557
1607307198.0960445,177600,0.3455294668674469
1607307231.0521672,178200,0.34553471207618713
1607307269.8717425,178900,0.3454725742340088
1607307275.257895,179000,0.3454838693141937
1607307324.5672486,179900,0.34545040130615234
1607307362.7469428,180600,0.3453003466129303
1607307478.265581,182700,0.3452879786491394
1607307500.093411,183100,0.34525448083877563
1607307555.1139219,184100,0.34518900513648987
1607307577.1489892,184500,0.34512534737586975
1607307626.3634691,185400,0.345209538936615
1607307697.86192,186700,0.3450293242931366
1607307714.3962698,187000,0.3450462818145752
1607307747.4995396,187600,0.3450544476509094
1607307758.3902464,187800,0.34505969285964966
1607307945.1437016,191200,0.34526532888412476
1607307977.8617828,191800,0.34537431597709656
1607308071.001702,193500,0.3453090786933899
1607308126.4580736,194500,0.34531861543655396
1607308142.8465762,194800,0.345331609249115
1607308153.8537073,195000,0.3453216552734375
1607308252.81347,196800,0.3452213406562805
1607308330.0035741,198200,0.3451524078845978
1607308341.001996,198400,0.345140278339386
1607308439.6923418,200200,0.3451298177242279
1607308461.8848717,200600,0.34518423676490784
1607308505.6793382,201400,0.3451717495918274
1607308598.778062,203100,0.345147967338562
1607308631.7646363,203700,0.3450302481651306
1607308763.167532,206100,0.34488922357559204
1607308834.459601,207400,0.34485241770744324
1607308851.0723772,207700,0.34486818313598633
1607308856.5301173,207800,0.3448878228664398
1607308878.5019581,208200,0.34480124711990356
1607308900.354848,208600,0.34478625655174255
1607308922.3248813,209000,0.3448179066181183
1607308960.8036537,209700,0.3447902798652649
1607309043.230533,211200,0.34462276101112366
1607309229.9120004,214600,0.34446877241134644
1607309251.7604315,215000,0.3444645404815674
1607309290.3670897,215700,0.3444631099700928
1607309339.5528097,216600,0.34442976117134094
1607309405.638268,217800,0.344350129365921
1607309460.7367427,218800,0.34428420662879944
1607309471.776867,219000,0.344301700592041
1607309482.9129648,219200,0.34429311752319336
1607309510.3020227,219700,0.34427520632743835
1607309526.7927573,220000,0.3442506194114685
1607309570.797659,220800,0.344186395406723
1607309592.8653188,221200,0.34413158893585205
1607309702.4158084,223200,0.3440874218940735
1607309729.613108,223700,0.3440746068954468
1607309734.991671,223800,0.34405162930488586
1607309746.1201982,224000,0.3440517783164978
1607309762.5389814,224300,0.3440227806568146
1607309784.5009,224700,0.3439573645591736
